Id,flightNo,date,departure,destination,weekday,month
92,PARO,2017-11-27,Paris,Rome,Monday,November
93,LODU,2017-11-27,London,Dublin,Monday,November
94,LOBE,2017-11-27,London,Berlin,Monday,November
95,LORO,2017-11-27,London,Rome,Monday,November
96,LOPA,2017-11-27,London,Paris,Monday,November
97,DUBE,2017-11-27,Dublin,Berlin,Monday,November
98,DURO,2017-11-27,Dublin,Rome,Monday,November
99,DUPA,2017-11-27,Dublin,Paris,Monday,November
100,DULO,2017-11-27,Dublin,London,Monday,November
101,BERO,2017-11-28,Berlin,Rome,Tuesday,November
102,BEPA,2017-11-28,Berlin,Paris,Tuesday,November
103,BELO,2017-11-28,Berlin,London,Tuesday,November
104,BEDU,2017-11-28,Berlin,Dublin,Tuesday,November
105,ROBE,2017-11-28,Rome,Berlin,Tuesday,November
106,ROPA,2017-11-28,Rome,Paris,Tuesday,November
107,ROLO,2017-11-28,Rome,London,Tuesday,November
108,RODU,2017-11-28,Rome,Dublin,Tuesday,November
109,PALO,2017-11-28,Paris,London,Tuesday,November
110,PADU,2017-11-28,Paris,Dublin,Tuesday,November
111,PABE,2017-11-28,Paris,Berlin,Tuesday,November
112,PARO,2017-11-28,Paris,Rome,Tuesday,November
113,LODU,2017-11-28,London,Dublin,Tuesday,November
114,LOBE,2017-11-28,London,Berlin,Tuesday,November
115,LORO,2017-11-28,London,Rome,Tuesday,November
116,LOPA,2017-11-28,London,Paris,Tuesday,November
117,DUBE,2017-11-28,Dublin,Berlin,Tuesday,November
118,DURO,2017-11-28,Dublin,Rome,Tuesday,November
119,DUPA,2017-11-28,Dublin,Paris,Tuesday,November
120,DULO,2017-11-28,Dublin,London,Tuesday,November
121,BERO,2017-11-29,Berlin,Rome,Wednesday,November
122,BEPA,2017-11-29,Berlin,Paris,Wednesday,November
123,BELO,2017-11-29,Berlin,London,Wednesday,November
124,BEDU,2017-11-29,Berlin,Dublin,Wednesday,November
125,ROBE,2017-11-29,Rome,Berlin,Wednesday,November
126,ROPA,2017-11-29,Rome,Paris,Wednesday,November
127,ROLO,2017-11-29,Rome,London,Wednesday,November
128,RODU,2017-11-29,Rome,Dublin,Wednesday,November
129,PALO,2017-11-29,Paris,London,Wednesday,November
130,PADU,2017-11-29,Paris,Dublin,Wednesday,November
131,PABE,2017-11-29,Paris,Berlin,Wednesday,November
132,PARO,2017-11-29,Paris,Rome,Wednesday,November
133,LODU,2017-11-29,London,Dublin,Wednesday,November
134,LOBE,2017-11-29,London,Berlin,Wednesday,November
135,LORO,2017-11-29,London,Rome,Wednesday,November
136,LOPA,2017-11-29,London,Paris,Wednesday,November
137,DUBE,2017-11-29,Dublin,Berlin,Wednesday,November
138,DURO,2017-11-29,Dublin,Rome,Wednesday,November
139,DUPA,2017-11-29,Dublin,Paris,Wednesday,November
140,DULO,2017-11-29,Dublin,London,Wednesday,November
141,BERO,2017-11-30,Berlin,Rome,Thursday,November
142,BEPA,2017-11-30,Berlin,Paris,Thursday,November
143,BELO,2017-11-30,Berlin,London,Thursday,November
144,BEDU,2017-11-30,Berlin,Dublin,Thursday,November
145,ROBE,2017-11-30,Rome,Berlin,Thursday,November
146,ROPA,2017-11-30,Rome,Paris,Thursday,November
147,ROLO,2017-11-30,Rome,London,Thursday,November
148,RODU,2017-11-30,Rome,Dublin,Thursday,November
149,PALO,2017-11-30,Paris,London,Thursday,November
150,PADU,2017-11-30,Paris,Dublin,Thursday,November
151,PABE,2017-11-30,Paris,Berlin,Thursday,November
152,PARO,2017-11-30,Paris,Rome,Thursday,November
153,LODU,2017-11-30,London,Dublin,Thursday,November
154,LOBE,2017-11-30,London,Berlin,Thursday,November
155,LORO,2017-11-30,London,Rome,Thursday,November
156,LOPA,2017-11-30,London,Paris,Thursday,November
157,DUBE,2017-11-30,Dublin,Berlin,Thursday,November
158,DURO,2017-11-30,Dublin,Rome,Thursday,November
159,DUPA,2017-11-30,Dublin,Paris,Thursday,November
160,DULO,2017-11-30,Dublin,London,Thursday,November
161,BERO,2017-12-01,Berlin,Rome,Friday,December
162,BEPA,2017-12-01,Berlin,Paris,Friday,December
163,BELO,2017-12-01,Berlin,London,Friday,December
164,BEDU,2017-12-01,Berlin,Dublin,Friday,December
165,ROBE,2017-12-01,Rome,Berlin,Friday,December
166,ROPA,2017-12-01,Rome,Paris,Friday,December
167,ROLO,2017-12-01,Rome,London,Friday,December
168,RODU,2017-12-01,Rome,Dublin,Friday,December
169,PALO,2017-12-01,Paris,London,Friday,December
170,PADU,2017-12-01,Paris,Dublin,Friday,December
171,PABE,2017-12-01,Paris,Berlin,Friday,December
172,PARO,2017-12-01,Paris,Rome,Friday,December
173,LODU,2017-12-01,London,Dublin,Friday,December
174,LOBE,2017-12-01,London,Berlin,Friday,December
175,LORO,2017-12-01,London,Rome,Friday,December
176,LOPA,2017-12-01,London,Paris,Friday,December
177,DUBE,2017-12-01,Dublin,Berlin,Friday,December
178,DURO,2017-12-01,Dublin,Rome,Friday,December
179,DUPA,2017-12-01,Dublin,Paris,Friday,December
180,DULO,2017-12-01,Dublin,London,Friday,December
181,BERO,2017-12-02,Berlin,Rome,Saturday,December
182,BEPA,2017-12-02,Berlin,Paris,Saturday,December
183,BELO,2017-12-02,Berlin,London,Saturday,December
184,BEDU,2017-12-02,Berlin,Dublin,Saturday,December
185,ROBE,2017-12-02,Rome,Berlin,Saturday,December
186,ROPA,2017-12-02,Rome,Paris,Saturday,December
187,ROLO,2017-12-02,Rome,London,Saturday,December
188,RODU,2017-12-02,Rome,Dublin,Saturday,December
189,PALO,2017-12-02,Paris,London,Saturday,December
190,PADU,2017-12-02,Paris,Dublin,Saturday,December
191,PABE,2017-12-02,Paris,Berlin,Saturday,December
192,PARO,2017-12-02,Paris,Rome,Saturday,December
193,LODU,2017-12-02,London,Dublin,Saturday,December
194,LOBE,2017-12-02,London,Berlin,Saturday,December
195,LORO,2017-12-02,London,Rome,Saturday,December
196,LOPA,2017-12-02,London,Paris,Saturday,December
197,DUBE,2017-12-02,Dublin,Berlin,Saturday,December
198,DURO,2017-12-02,Dublin,Rome,Saturday,December
199,DUPA,2017-12-02,Dublin,Paris,Saturday,December
200,DULO,2017-12-02,Dublin,London,Saturday,December
201,BERO,2017-12-03,Berlin,Rome,Sunday,December
202,BEPA,2017-12-03,Berlin,Paris,Sunday,December
203,BELO,2017-12-03,Berlin,London,Sunday,December
204,BEDU,2017-12-03,Berlin,Dublin,Sunday,December
205,ROBE,2017-12-03,Rome,Berlin,Sunday,December
206,ROPA,2017-12-03,Rome,Paris,Sunday,December
207,ROLO,2017-12-03,Rome,London,Sunday,December
208,RODU,2017-12-03,Rome,Dublin,Sunday,December
209,PALO,2017-12-03,Paris,London,Sunday,December
210,PADU,2017-12-03,Paris,Dublin,Sunday,December
211,PABE,2017-12-03,Paris,Berlin,Sunday,December
212,PARO,2017-12-03,Paris,Rome,Sunday,December
213,LODU,2017-12-03,London,Dublin,Sunday,December
214,LOBE,2017-12-03,London,Berlin,Sunday,December
215,LORO,2017-12-03,London,Rome,Sunday,December
216,LOPA,2017-12-03,London,Paris,Sunday,December
217,DUBE,2017-12-03,Dublin,Berlin,Sunday,December
218,DURO,2017-12-03,Dublin,Rome,Sunday,December
219,DUPA,2017-12-03,Dublin,Paris,Sunday,December
220,DULO,2017-12-03,Dublin,London,Sunday,December
221,BERO,2017-12-04,Berlin,Rome,Monday,December
222,BEPA,2017-12-04,Berlin,Paris,Monday,December
223,BELO,2017-12-04,Berlin,London,Monday,December
224,BEDU,2017-12-04,Berlin,Dublin,Monday,December
225,ROBE,2017-12-04,Rome,Berlin,Monday,December
226,ROPA,2017-12-04,Rome,Paris,Monday,December
227,ROLO,2017-12-04,Rome,London,Monday,December
228,RODU,2017-12-04,Rome,Dublin,Monday,December
229,PALO,2017-12-04,Paris,London,Monday,December
230,PADU,2017-12-04,Paris,Dublin,Monday,December
231,PABE,2017-12-04,Paris,Berlin,Monday,December
232,PARO,2017-12-04,Paris,Rome,Monday,December
233,LODU,2017-12-04,London,Dublin,Monday,December
234,LOBE,2017-12-04,London,Berlin,Monday,December
235,LORO,2017-12-04,London,Rome,Monday,December
236,LOPA,2017-12-04,London,Paris,Monday,December
237,DUBE,2017-12-04,Dublin,Berlin,Monday,December
238,DURO,2017-12-04,Dublin,Rome,Monday,December
239,DUPA,2017-12-04,Dublin,Paris,Monday,December
240,DULO,2017-12-04,Dublin,London,Monday,December
241,BERO,2017-12-05,Berlin,Rome,Tuesday,December
242,BEPA,2017-12-05,Berlin,Paris,Tuesday,December
243,BELO,2017-12-05,Berlin,London,Tuesday,December
244,BEDU,2017-12-05,Berlin,Dublin,Tuesday,December
245,ROBE,2017-12-05,Rome,Berlin,Tuesday,December
246,ROPA,2017-12-05,Rome,Paris,Tuesday,December
247,ROLO,2017-12-05,Rome,London,Tuesday,December
248,RODU,2017-12-05,Rome,Dublin,Tuesday,December
249,PALO,2017-12-05,Paris,London,Tuesday,December
250,PADU,2017-12-05,Paris,Dublin,Tuesday,December
251,PABE,2017-12-05,Paris,Berlin,Tuesday,December
252,PARO,2017-12-05,Paris,Rome,Tuesday,December
253,LODU,2017-12-05,London,Dublin,Tuesday,December
254,LOBE,2017-12-05,London,Berlin,Tuesday,December
255,LORO,2017-12-05,London,Rome,Tuesday,December
256,LOPA,2017-12-05,London,Paris,Tuesday,December
257,DUBE,2017-12-05,Dublin,Berlin,Tuesday,December
258,DURO,2017-12-05,Dublin,Rome,Tuesday,December
259,DUPA,2017-12-05,Dublin,Paris,Tuesday,December
260,DULO,2017-12-05,Dublin,London,Tuesday,December
261,BERO,2017-12-06,Berlin,Rome,Wednesday,December
262,BEPA,2017-12-06,Berlin,Paris,Wednesday,December
263,BELO,2017-12-06,Berlin,London,Wednesday,December
264,BEDU,2017-12-06,Berlin,Dublin,Wednesday,December
265,ROBE,2017-12-06,Rome,Berlin,Wednesday,December
266,ROPA,2017-12-06,Rome,Paris,Wednesday,December
267,ROLO,2017-12-06,Rome,London,Wednesday,December
268,RODU,2017-12-06,Rome,Dublin,Wednesday,December
269,PALO,2017-12-06,Paris,London,Wednesday,December
270,PADU,2017-12-06,Paris,Dublin,Wednesday,December
271,PABE,2017-12-06,Paris,Berlin,Wednesday,December
272,PARO,2017-12-06,Paris,Rome,Wednesday,December
273,LODU,2017-12-06,London,Dublin,Wednesday,December
274,LOBE,2017-12-06,London,Berlin,Wednesday,December
275,LORO,2017-12-06,London,Rome,Wednesday,December
276,LOPA,2017-12-06,London,Paris,Wednesday,December
277,DUBE,2017-12-06,Dublin,Berlin,Wednesday,December
278,DURO,2017-12-06,Dublin,Rome,Wednesday,December
279,DUPA,2017-12-06,Dublin,Paris,Wednesday,December
280,DULO,2017-12-06,Dublin,London,Wednesday,December
281,BERO,2017-12-07,Berlin,Rome,Thursday,December
282,BEPA,2017-12-07,Berlin,Paris,Thursday,December
283,BELO,2017-12-07,Berlin,London,Thursday,December
284,BEDU,2017-12-07,Berlin,Dublin,Thursday,December
285,ROBE,2017-12-07,Rome,Berlin,Thursday,December
286,ROPA,2017-12-07,Rome,Paris,Thursday,December
287,ROLO,2017-12-07,Rome,London,Thursday,December
288,RODU,2017-12-07,Rome,Dublin,Thursday,December
289,PALO,2017-12-07,Paris,London,Thursday,December
290,PADU,2017-12-07,Paris,Dublin,Thursday,December
291,PABE,2017-12-07,Paris,Berlin,Thursday,December
292,PARO,2017-12-07,Paris,Rome,Thursday,December
293,LODU,2017-12-07,London,Dublin,Thursday,December
294,LOBE,2017-12-07,London,Berlin,Thursday,December
295,LORO,2017-12-07,London,Rome,Thursday,December
296,LOPA,2017-12-07,London,Paris,Thursday,December
297,DUBE,2017-12-07,Dublin,Berlin,Thursday,December
298,DURO,2017-12-07,Dublin,Rome,Thursday,December
299,DUPA,2017-12-07,Dublin,Paris,Thursday,December
300,DULO,2017-12-07,Dublin,London,Thursday,December
301,BERO,2017-12-08,Berlin,Rome,Friday,December
302,BEPA,2017-12-08,Berlin,Paris,Friday,December
303,BELO,2017-12-08,Berlin,London,Friday,December
304,BEDU,2017-12-08,Berlin,Dublin,Friday,December
305,ROBE,2017-12-08,Rome,Berlin,Friday,December
306,ROPA,2017-12-08,Rome,Paris,Friday,December
307,ROLO,2017-12-08,Rome,London,Friday,December
308,RODU,2017-12-08,Rome,Dublin,Friday,December
309,PALO,2017-12-08,Paris,London,Friday,December
310,PADU,2017-12-08,Paris,Dublin,Friday,December
311,PABE,2017-12-08,Paris,Berlin,Friday,December
312,PARO,2017-12-08,Paris,Rome,Friday,December
313,LODU,2017-12-08,London,Dublin,Friday,December
314,LOBE,2017-12-08,London,Berlin,Friday,December
315,LORO,2017-12-08,London,Rome,Friday,December
316,LOPA,2017-12-08,London,Paris,Friday,December
317,DUBE,2017-12-08,Dublin,Berlin,Friday,December
318,DURO,2017-12-08,Dublin,Rome,Friday,December
319,DUPA,2017-12-08,Dublin,Paris,Friday,December
320,DULO,2017-12-08,Dublin,London,Friday,December
321,BERO,2017-12-09,Berlin,Rome,Saturday,December
322,BEPA,2017-12-09,Berlin,Paris,Saturday,December
323,BELO,2017-12-09,Berlin,London,Saturday,December
324,BEDU,2017-12-09,Berlin,Dublin,Saturday,December
325,ROBE,2017-12-09,Rome,Berlin,Saturday,December
326,ROPA,2017-12-09,Rome,Paris,Saturday,December
327,ROLO,2017-12-09,Rome,London,Saturday,December
328,RODU,2017-12-09,Rome,Dublin,Saturday,December
329,PALO,2017-12-09,Paris,London,Saturday,December
330,PADU,2017-12-09,Paris,Dublin,Saturday,December
331,PABE,2017-12-09,Paris,Berlin,Saturday,December
332,PARO,2017-12-09,Paris,Rome,Saturday,December
333,LODU,2017-12-09,London,Dublin,Saturday,December
334,LOBE,2017-12-09,London,Berlin,Saturday,December
335,LORO,2017-12-09,London,Rome,Saturday,December
336,LOPA,2017-12-09,London,Paris,Saturday,December
337,DUBE,2017-12-09,Dublin,Berlin,Saturday,December
338,DURO,2017-12-09,Dublin,Rome,Saturday,December
339,DUPA,2017-12-09,Dublin,Paris,Saturday,December
340,DULO,2017-12-09,Dublin,London,Saturday,December
341,BERO,2017-12-10,Berlin,Rome,Sunday,December
342,BEPA,2017-12-10,Berlin,Paris,Sunday,December
343,BELO,2017-12-10,Berlin,London,Sunday,December
344,BEDU,2017-12-10,Berlin,Dublin,Sunday,December
345,ROBE,2017-12-10,Rome,Berlin,Sunday,December
346,ROPA,2017-12-10,Rome,Paris,Sunday,December
347,ROLO,2017-12-10,Rome,London,Sunday,December
348,RODU,2017-12-10,Rome,Dublin,Sunday,December
349,PALO,2017-12-10,Paris,London,Sunday,December
350,PADU,2017-12-10,Paris,Dublin,Sunday,December
351,PABE,2017-12-10,Paris,Berlin,Sunday,December
352,PARO,2017-12-10,Paris,Rome,Sunday,December
353,LODU,2017-12-10,London,Dublin,Sunday,December
354,LOBE,2017-12-10,London,Berlin,Sunday,December
355,LORO,2017-12-10,London,Rome,Sunday,December
356,LOPA,2017-12-10,London,Paris,Sunday,December
357,DUBE,2017-12-10,Dublin,Berlin,Sunday,December
358,DURO,2017-12-10,Dublin,Rome,Sunday,December
359,DUPA,2017-12-10,Dublin,Paris,Sunday,December
360,DULO,2017-12-10,Dublin,London,Sunday,December
361,BERO,2017-12-11,Berlin,Rome,Monday,December
362,BEPA,2017-12-11,Berlin,Paris,Monday,December
363,BELO,2017-12-11,Berlin,London,Monday,December
364,BEDU,2017-12-11,Berlin,Dublin,Monday,December
365,ROBE,2017-12-11,Rome,Berlin,Monday,December
366,ROPA,2017-12-11,Rome,Paris,Monday,December
367,ROLO,2017-12-11,Rome,London,Monday,December
368,RODU,2017-12-11,Rome,Dublin,Monday,December
369,PALO,2017-12-11,Paris,London,Monday,December
370,PADU,2017-12-11,Paris,Dublin,Monday,December
371,PABE,2017-12-11,Paris,Berlin,Monday,December
372,PARO,2017-12-11,Paris,Rome,Monday,December
373,LODU,2017-12-11,London,Dublin,Monday,December
374,LOBE,2017-12-11,London,Berlin,Monday,December
375,LORO,2017-12-11,London,Rome,Monday,December
376,LOPA,2017-12-11,London,Paris,Monday,December
377,DUBE,2017-12-11,Dublin,Berlin,Monday,December
378,DURO,2017-12-11,Dublin,Rome,Monday,December
379,DUPA,2017-12-11,Dublin,Paris,Monday,December
380,DULO,2017-12-11,Dublin,London,Monday,December
381,BERO,2017-12-12,Berlin,Rome,Tuesday,December
382,BEPA,2017-12-12,Berlin,Paris,Tuesday,December
383,BELO,2017-12-12,Berlin,London,Tuesday,December
384,BEDU,2017-12-12,Berlin,Dublin,Tuesday,December
385,ROBE,2017-12-12,Rome,Berlin,Tuesday,December
386,ROPA,2017-12-12,Rome,Paris,Tuesday,December
387,ROLO,2017-12-12,Rome,London,Tuesday,December
388,RODU,2017-12-12,Rome,Dublin,Tuesday,December
389,PALO,2017-12-12,Paris,London,Tuesday,December
390,PADU,2017-12-12,Paris,Dublin,Tuesday,December
391,PABE,2017-12-12,Paris,Berlin,Tuesday,December
392,PARO,2017-12-12,Paris,Rome,Tuesday,December
393,LODU,2017-12-12,London,Dublin,Tuesday,December
394,LOBE,2017-12-12,London,Berlin,Tuesday,December
395,LORO,2017-12-12,London,Rome,Tuesday,December
396,LOPA,2017-12-12,London,Paris,Tuesday,December
397,DUBE,2017-12-12,Dublin,Berlin,Tuesday,December
398,DURO,2017-12-12,Dublin,Rome,Tuesday,December
399,DUPA,2017-12-12,Dublin,Paris,Tuesday,December
400,DULO,2017-12-12,Dublin,London,Tuesday,December
401,BERO,2017-12-13,Berlin,Rome,Wednesday,December
402,BEPA,2017-12-13,Berlin,Paris,Wednesday,December
403,BELO,2017-12-13,Berlin,London,Wednesday,December
404,BEDU,2017-12-13,Berlin,Dublin,Wednesday,December
405,ROBE,2017-12-13,Rome,Berlin,Wednesday,December
406,ROPA,2017-12-13,Rome,Paris,Wednesday,December
407,ROLO,2017-12-13,Rome,London,Wednesday,December
408,RODU,2017-12-13,Rome,Dublin,Wednesday,December
409,PALO,2017-12-13,Paris,London,Wednesday,December
410,PADU,2017-12-13,Paris,Dublin,Wednesday,December
411,PABE,2017-12-13,Paris,Berlin,Wednesday,December
412,PARO,2017-12-13,Paris,Rome,Wednesday,December
413,LODU,2017-12-13,London,Dublin,Wednesday,December
414,LOBE,2017-12-13,London,Berlin,Wednesday,December
415,LORO,2017-12-13,London,Rome,Wednesday,December
416,LOPA,2017-12-13,London,Paris,Wednesday,December
417,DUBE,2017-12-13,Dublin,Berlin,Wednesday,December
418,DURO,2017-12-13,Dublin,Rome,Wednesday,December
419,DUPA,2017-12-13,Dublin,Paris,Wednesday,December
420,DULO,2017-12-13,Dublin,London,Wednesday,December
421,BERO,2017-12-14,Berlin,Rome,Thursday,December
422,BEPA,2017-12-14,Berlin,Paris,Thursday,December
423,BELO,2017-12-14,Berlin,London,Thursday,December
424,BEDU,2017-12-14,Berlin,Dublin,Thursday,December
425,ROBE,2017-12-14,Rome,Berlin,Thursday,December
426,ROPA,2017-12-14,Rome,Paris,Thursday,December
427,ROLO,2017-12-14,Rome,London,Thursday,December
428,RODU,2017-12-14,Rome,Dublin,Thursday,December
429,PALO,2017-12-14,Paris,London,Thursday,December
430,PADU,2017-12-14,Paris,Dublin,Thursday,December
431,PABE,2017-12-14,Paris,Berlin,Thursday,December
432,PARO,2017-12-14,Paris,Rome,Thursday,December
433,LODU,2017-12-14,London,Dublin,Thursday,December
434,LOBE,2017-12-14,London,Berlin,Thursday,December
435,LORO,2017-12-14,London,Rome,Thursday,December
436,LOPA,2017-12-14,London,Paris,Thursday,December
437,DUBE,2017-12-14,Dublin,Berlin,Thursday,December
438,DURO,2017-12-14,Dublin,Rome,Thursday,December
439,DUPA,2017-12-14,Dublin,Paris,Thursday,December
440,DULO,2017-12-14,Dublin,London,Thursday,December
441,BERO,2017-12-15,Berlin,Rome,Friday,December
442,BEPA,2017-12-15,Berlin,Paris,Friday,December
443,BELO,2017-12-15,Berlin,London,Friday,December
444,BEDU,2017-12-15,Berlin,Dublin,Friday,December
445,ROBE,2017-12-15,Rome,Berlin,Friday,December
446,ROPA,2017-12-15,Rome,Paris,Friday,December
447,ROLO,2017-12-15,Rome,London,Friday,December
448,RODU,2017-12-15,Rome,Dublin,Friday,December
449,PALO,2017-12-15,Paris,London,Friday,December
450,PADU,2017-12-15,Paris,Dublin,Friday,December
451,PABE,2017-12-15,Paris,Berlin,Friday,December
452,PARO,2017-12-15,Paris,Rome,Friday,December
453,LODU,2017-12-15,London,Dublin,Friday,December
454,LOBE,2017-12-15,London,Berlin,Friday,December
455,LORO,2017-12-15,London,Rome,Friday,December
456,LOPA,2017-12-15,London,Paris,Friday,December
457,DUBE,2017-12-15,Dublin,Berlin,Friday,December
458,DURO,2017-12-15,Dublin,Rome,Friday,December
459,DUPA,2017-12-15,Dublin,Paris,Friday,December
460,DULO,2017-12-15,Dublin,London,Friday,December
461,BERO,2017-12-16,Berlin,Rome,Saturday,December
462,BEPA,2017-12-16,Berlin,Paris,Saturday,December
463,BELO,2017-12-16,Berlin,London,Saturday,December
464,BEDU,2017-12-16,Berlin,Dublin,Saturday,December
465,ROBE,2017-12-16,Rome,Berlin,Saturday,December
466,ROPA,2017-12-16,Rome,Paris,Saturday,December
467,ROLO,2017-12-16,Rome,London,Saturday,December
468,RODU,2017-12-16,Rome,Dublin,Saturday,December
469,PALO,2017-12-16,Paris,London,Saturday,December
470,PADU,2017-12-16,Paris,Dublin,Saturday,December
471,PABE,2017-12-16,Paris,Berlin,Saturday,December
472,PARO,2017-12-16,Paris,Rome,Saturday,December
473,LODU,2017-12-16,London,Dublin,Saturday,December
474,LOBE,2017-12-16,London,Berlin,Saturday,December
475,LORO,2017-12-16,London,Rome,Saturday,December
476,LOPA,2017-12-16,London,Paris,Saturday,December
477,DUBE,2017-12-16,Dublin,Berlin,Saturday,December
478,DURO,2017-12-16,Dublin,Rome,Saturday,December
479,DUPA,2017-12-16,Dublin,Paris,Saturday,December
480,DULO,2017-12-16,Dublin,London,Saturday,December
481,BERO,2017-12-17,Berlin,Rome,Sunday,December
482,BEPA,2017-12-17,Berlin,Paris,Sunday,December
483,BELO,2017-12-17,Berlin,London,Sunday,December
484,BEDU,2017-12-17,Berlin,Dublin,Sunday,December
485,ROBE,2017-12-17,Rome,Berlin,Sunday,December
486,ROPA,2017-12-17,Rome,Paris,Sunday,December
487,ROLO,2017-12-17,Rome,London,Sunday,December
488,RODU,2017-12-17,Rome,Dublin,Sunday,December
489,PALO,2017-12-17,Paris,London,Sunday,December
490,PADU,2017-12-17,Paris,Dublin,Sunday,December
491,PABE,2017-12-17,Paris,Berlin,Sunday,December
